Start Training...
Epoch 1/2: Iteration 20800, loss = 0.054219
Epoch 1/2: Iteration 20900, loss = 0.019235
Epoch 1/2: Iteration 21000, loss = 0.020869
Epoch 1/2: Iteration 21100, loss = 0.209909
Epoch 1/2: Iteration 21200, loss = 0.142274
Epoch 1/2: Iteration 21300, loss = 0.011968
Epoch 1/2: Iteration 21400, loss = 0.912145
Epoch 1/2: Iteration 21500, loss = 0.055087
Epoch 1/2: Iteration 21600, loss = 0.120901
Epoch 1/2: Iteration 21700, loss = 0.000880
Epoch 1/2: Iteration 21800, loss = 0.053254
Epoch 1/2: Iteration 21900, loss = 0.017770
Epoch 1/2: Iteration 22000, loss = 5.812945
Epoch 1/2: Iteration 22100, loss = 0.147622
Epoch 1/2: Iteration 22200, loss = 0.024965
Epoch 1/2: Iteration 22300, loss = 0.088475
Epoch 1/2: Iteration 22400, loss = 0.170297
Epoch 1/2: Iteration 22500, loss = 0.026288
Epoch 1/2: Iteration 22600, loss = 0.254635
Epoch 1/2: Iteration 22700, loss = 0.008563
Epoch 1/2: Iteration 22800, loss = 0.018161
Epoch 1/2: Iteration 22900, loss = 0.549466
Epoch 1/2: Iteration 23000, loss = 0.006398
Epoch 1/2: Iteration 23100, loss = 0.055977
Epoch 1/2: Iteration 23200, loss = 0.015233
Epoch 1/2: Iteration 23300, loss = 0.106778
Epoch 1/2: Iteration 23400, loss = 0.024453
Epoch 1/2: Iteration 23500, loss = 0.009753
Epoch 1/2: Iteration 23600, loss = 0.478734
Epoch 1/2: Iteration 23700, loss = 0.165202
Epoch 1/2: Iteration 23800, loss = 0.044597
Epoch 1/2: Iteration 23900, loss = 0.007589
Epoch 1/2: Iteration 24000, loss = 0.410352
Epoch 1/2: Iteration 24100, loss = 0.740008
Epoch 1/2: Iteration 24200, loss = 0.132019
Epoch 1/2: Iteration 24300, loss = 0.042222
Epoch 1/2: Iteration 24400, loss = 0.072835
Epoch 1/2: Iteration 24500, loss = 0.216468
Epoch 1/2: Iteration 24600, loss = 0.042905
Epoch 1/2: Iteration 24700, loss = 0.295406
Epoch 1/2: Iteration 24800, loss = 0.016183
Epoch 1/2: Iteration 24900, loss = 0.086074
Epoch 1/2: Iteration 25000, loss = 0.051181
Epoch 1/2: Iteration 25100, loss = 1.257510
Epoch 1/2: Iteration 25200, loss = 0.492273
Epoch 1/2: Iteration 25300, loss = 0.038804
Epoch 1/2: Iteration 25400, loss = 0.101161
Epoch 1/2: Iteration 25500, loss = 0.410495
Epoch 1/2: Iteration 25600, loss = 0.100802
Epoch 1/2: Iteration 25700, loss = 0.060472
Epoch 1/2: Iteration 25800, loss = 0.003339
Epoch 1/2: Iteration 25900, loss = 0.014149
Epoch 1/2: Iteration 26000, loss = 0.037953
Epoch 1/2: Iteration 26100, loss = 0.141050
Epoch 1/2: Iteration 26200, loss = 0.054874
Epoch 1/2: Iteration 26300, loss = 0.091903
Epoch 1/2: Iteration 26400, loss = 0.020266
Epoch 1/2: Iteration 26500, loss = 0.098479
Epoch 1/2: Iteration 26600, loss = 0.201292
Epoch 1/2: Iteration 26700, loss = 0.059550
Epoch 1/2: Iteration 26800, loss = 0.031052
Epoch 1/2: Iteration 26900, loss = 0.124680
Epoch 1/2: Iteration 27000, loss = 0.050623
Epoch 1/2: Iteration 27100, loss = 0.206877
Epoch 1/2: Iteration 27200, loss = 0.034021
Epoch 1/2: Iteration 27300, loss = 0.229102
Epoch 1/2: Iteration 27400, loss = 0.063757
Epoch 1/2: Iteration 27500, loss = 0.055227
Epoch 1/2: Iteration 27600, loss = 0.599709
Epoch 1/2: Iteration 27700, loss = 3.988263
Epoch 1/2: Iteration 27800, loss = 0.094844
Epoch 1/2: Iteration 27900, loss = 1.114052
Epoch 1/2: Iteration 28000, loss = 0.055721
Epoch 1/2: Iteration 28100, loss = 0.173464
Epoch 1/2: Iteration 28200, loss = 0.755563
Epoch 1/2: Iteration 28300, loss = 0.011666
Epoch 1/2: Iteration 28400, loss = 0.283271
Epoch 1/2: Iteration 28500, loss = 0.070521
Epoch 1/2: Iteration 28600, loss = 0.016428
Epoch 1/2: Iteration 28700, loss = 0.003716
Epoch 1/2: Iteration 28800, loss = 0.051812
Epoch 1/2: Iteration 28900, loss = 0.299804
Epoch 1/2: Iteration 29000, loss = 0.472748
Epoch 1/2: Iteration 29100, loss = 0.037206
Epoch 1/2: Iteration 29200, loss = 0.001306
Epoch 1/2: Iteration 29300, loss = 0.021054
Epoch 1/2: Iteration 29400, loss = 0.027126
Epoch 1/2: Iteration 29500, loss = 0.267827
Epoch 1/2: Iteration 29600, loss = 0.034251
Epoch 1/2: Iteration 29700, loss = 0.047351
Epoch 1/2: Iteration 29800, loss = 0.230674
Epoch 1/2: Iteration 29900, loss = 0.044322
Epoch 1/2: Iteration 30000, loss = 0.065463
Epoch 1/2: Iteration 30100, loss = 0.378268
Epoch 1/2: Iteration 30200, loss = 1.339821
Epoch 1/2: Iteration 30300, loss = 0.111081
Epoch 1/2: Iteration 30400, loss = 0.108996
Epoch 1/2: Iteration 30500, loss = 0.226448
